# rock overburden grid in the detector ENU frame
# frame: x=East y=North z=Up; theta=zenith from vertical; phi=CCW azimuth from detector x-axis
# yaw_deg=0.0  (detector x-axis CCW from East)
# lat_deg=46.34249442000001  lon_deg=5.838823310000004
# detector_ecef_m=4.3758338841576995e6,447476.8376059988,4.6097685961005045e6
# rho_gcm3=2.65  max_radius_m=60000.0  max_range_m=60000.0
# n_theta=50  n_phi=180
# columns: theta_deg,phi_deg,L_m,X_gcm2  (X = rho*L*100, g/cm^2)
theta_deg,phi_deg,L_m,X_gcm2
65.0,0.0,0.0,0.0
65.0,2.0,0.0,0.0
65.0,4.0,0.0,0.0
65.0,6.0,0.0,0.0
65.0,8.0,0.0,0.0
65.0,10.0,0.0,0.0
65.0,12.0,0.0,0.0
65.0,14.0,0.0,0.0
65.0,16.0,0.0,0.0
65.0,18.0,0.0,0.0
65.0,20.0,0.0,0.0
65.0,22.0,0.0,0.0
65.0,24.0,0.0,0.0
65.0,26.0,0.0,0.0
65.0,28.0,0.0,0.0
65.0,30.0,0.0,0.0
65.0,32.0,0.0,0.0
65.0,34.0,0.0,0.0
65.0,36.0,0.0,0.0
65.0,38.0,0.0,0.0
65.0,40.0,0.0,0.0
65.0,42.0,0.0,0.0
65.0,44.0,0.0,0.0
65.0,46.0,0.0,0.0
65.0,48.0,0.0,0.0
65.0,50.0,0.0,0.0
65.0,52.0,0.0,0.0
65.0,54.0,0.0,0.0
65.0,56.0,0.0,0.0
65.0,58.0,0.0,0.0
65.0,60.0,0.0,0.0
65.0,62.0,0.0,0.0
65.0,64.0,0.0,0.0
65.0,66.0,0.0,0.0
65.0,68.0,0.0,0.0
65.0,70.0,0.0,0.0
65.0,72.0,0.0,0.0
65.0,74.0,0.0,0.0
65.0,76.0,0.0,0.0
65.0,78.0,0.0,0.0
65.0,80.0,0.0,0.0
65.0,82.0,0.0,0.0
65.0,84.0,0.0,0.0
65.0,86.0,0.0,0.0
65.0,88.0,0.0,0.0
65.0,90.0,0.0,0.0
65.0,92.0,0.0,0.0
65.0,94.0,0.0,0.0
65.0,96.0,0.0,0.0
65.0,98.0,0.0,0.0
65.0,100.0,0.0,0.0
65.0,102.0,0.0,0.0
65.0,104.0,0.0,0.0
65.0,106.0,0.0,0.0
65.0,108.0,0.0,0.0
65.0,110.0,0.0,0.0
65.0,112.0,0.0,0.0
65.0,114.0,0.0,0.0
65.0,116.0,0.0,0.0
65.0,118.0,0.0,0.0
65.0,120.0,0.0,0.0
65.0,122.0,0.0,0.0
65.0,124.0,0.0,0.0
65.0,126.0,0.0,0.0
65.0,128.0,0.0,0.0
65.0,130.0,0.0,0.0
65.0,132.0,0.0,0.0
65.0,134.0,0.0,0.0
65.0,136.0,0.0,0.0
65.0,138.0,0.0,0.0
65.0,140.0,0.0,0.0
65.0,142.0,0.0,0.0
65.0,144.0,0.0,0.0
65.0,146.0,0.0,0.0
65.0,148.0,0.0,0.0
65.0,150.0,0.0,0.0
65.0,152.0,0.0,0.0
65.0,154.0,0.0,0.0
65.0,156.0,0.0,0.0
65.0,158.0,0.0,0.0
65.0,160.0,0.0,0.0
65.0,162.0,0.0,0.0
65.0,164.0,0.0,0.0
65.0,166.0,0.0,0.0
65.0,168.0,0.0,0.0
65.0,170.0,0.0,0.0
65.0,172.0,0.0,0.0
65.0,174.0,0.0,0.0
65.0,176.0,0.0,0.0
65.0,178.0,0.0,0.0
65.0,180.0,0.0,0.0
65.0,182.0,0.0,0.0
65.0,184.0,0.0,0.0
65.0,186.0,0.0,0.0
65.0,188.0,0.0,0.0
65.0,190.0,0.0,0.0
65.0,192.0,0.0,0.0
65.0,194.0,0.0,0.0
65.0,196.0,0.0,0.0
65.0,198.0,0.0,0.0
65.0,200.0,0.0,0.0
65.0,202.0,0.0,0.0
65.0,204.0,0.0,0.0
65.0,206.0,0.0,0.0
65.0,208.0,0.0,0.0
65.0,210.0,0.0,0.0
65.0,212.0,0.0,0.0
65.0,214.0,0.0,0.0
65.0,216.0,0.0,0.0
65.0,218.0,0.0,0.0
65.0,220.0,0.0,0.0
65.0,222.0,0.0,0.0
65.0,224.0,0.0,0.0
65.0,226.0,0.0,0.0
65.0,228.0,0.0,0.0
65.0,230.0,0.0,0.0
65.0,232.0,0.0,0.0
65.0,234.0,0.0,0.0
65.0,236.0,0.0,0.0
65.0,238.0,0.0,0.0
65.0,240.0,0.0,0.0
65.0,242.0,0.0,0.0
65.0,244.0,0.0,0.0
65.0,246.0,0.0,0.0
65.0,248.0,0.0,0.0
65.0,250.0,0.0,0.0
65.0,252.0,0.0,0.0
65.0,254.0,0.0,0.0
65.0,256.0,0.0,0.0
65.0,258.0,0.0,0.0
65.0,260.0,0.0,0.0
65.0,262.0,0.0,0.0
65.0,264.0,0.0,0.0
65.0,266.0,0.0,0.0
65.0,268.0,0.0,0.0
65.0,270.0,0.0,0.0
65.0,272.0,0.0,0.0
65.0,274.0,0.0,0.0
65.0,276.0,0.0,0.0
65.0,278.0,0.0,0.0
65.0,280.0,0.0,0.0
65.0,282.0,0.0,0.0
65.0,284.0,0.0,0.0
65.0,286.0,0.0,0.0
65.0,288.0,0.0,0.0
65.0,290.0,0.0,0.0
65.0,292.0,0.0,0.0
65.0,294.0,0.0,0.0
65.0,296.0,0.0,0.0
65.0,298.0,0.0,0.0
65.0,300.0,0.0,0.0
65.0,302.0,0.0,0.0
65.0,304.0,0.0,0.0
65.0,306.0,0.0,0.0
65.0,308.0,0.0,0.0
65.0,310.0,0.0,0.0
65.0,312.0,0.0,0.0
65.0,314.0,0.0,0.0
65.0,316.0,0.0,0.0
65.0,318.0,0.0,0.0
65.0,320.0,0.0,0.0
65.0,322.0,0.0,0.0
65.0,324.0,0.0,0.0
65.0,326.0,0.0,0.0
65.0,328.0,0.0,0.0
65.0,330.0,0.0,0.0
65.0,332.0,0.0,0.0
65.0,334.0,0.0,0.0
65.0,336.0,0.0,0.0
65.0,338.0,0.0,0.0
65.0,340.0,0.0,0.0
65.0,342.0,0.0,0.0
65.0,344.0,0.0,0.0
65.0,346.0,0.0,0.0
65.0,348.0,0.0,0.0
65.0,350.0,0.0,0.0
65.0,352.0,0.0,0.0
65.0,354.0,0.0,0.0
65.0,356.0,0.0,0.0
65.0,358.0,0.0,0.0
65.5,0.0,0.0,0.0
65.5,2.0,0.0,0.0
65.5,4.0,0.0,0.0
65.5,6.0,0.0,0.0
65.5,8.0,0.0,0.0
65.5,10.0,0.0,0.0
65.5,12.0,0.0,0.0
65.5,14.0,0.0,0.0
65.5,16.0,0.0,0.0
65.5,18.0,0.0,0.0
65.5,20.0,0.0,0.0
65.5,22.0,0.0,0.0
65.5,24.0,0.0,0.0
